state,zipcode,a00100,a18300,a06500
AL,0,11004990,72527,157928
AL,0,17658446,240950,850897
AL,0,15963943,329474,1236058
AL,0,14294375,361954,1323173
AL,0,27387096,982577,3501461
AL,0,22652783,962132,5204318
AK,0,1361243,7773,35327
AK,0,2939909,24142,178687
AK,0,3193874,43293,292375
AK,0,3167348,50383,339599
AK,0,7719598,143385,1081715
AK,0,5994823,94584,1442217
AZ,0,14080225,172842,231228
AZ,0,25690069,395744,1276827
AZ,0,22935357,561713,1808188
AZ,0,20444123,626397,1929779
AZ,0,40977657,1660193,5226924
AZ,0,42809500,2180661,9757464
AR,0,6557155,38722,103137
AR,0,10844589,131551,524264
AR,0,9804394,215297,743738
AR,0,8360003,271381,766330
AR,0,14593713,789980,1850383
AR,0,15284424,933178,3468513
CA,0,81165499,1459775,1361883
CA,0,143142890,3435827,7014851
CA,0,135684013,5580338,10814367
CA,0,122250499,7076111,11837191
CA,0,304308436,23804346,38113550
CA,0,527837327,58323771,120513844
CO,0,10449701,113123,219794
CO,0,22017468,323998,1254005
CO,0,22215623,560947,1863585
CO,0,20645821,686787,2010683
CO,0,47774555,2184361,6200013
CO,0,59695761,3174065,13781978
CT,0,6655876,229849,137291
CT,0,13268979,526551,788688
CT,0,14739502,929491,1310529
CT,0,14396087,1121270,1438966
CT,0,37205357,3459681,4680850
CT,0,77894288,7197753,19106758
DE,0,1944991,15295,36684
DE,0,3801029,60593,211415
DE,0,3836014,113605,327928
DE,0,3586427,138468,352705
DE,0,7915794,430297,1012914
DE,0,6726016,471483,1494438
DC,0,1240373,15969,22902
DC,0,2946932,56081,191280
DC,0,3240047,100508,353853
DC,0,2721948,143574,360739
DC,0,6285582,473481,947478
DC,0,13550563,1236193,3147424
FL,0,50522602,550966,810903
FL,0,80853128,1207393,4199397
FL,0,68842082,1372810,5711942
FL,0,58470852,1317446,5777019
FL,0,117809687,3396778,15637071
FL,0,212973290,6550320,52395082
GA,0,23062262,254805,317986
GA,0,36738861,873493,1697989
GA,0,33008246,1255322,2542622
GA,0,28607630,1357423,2660177
GA,0,61564865,3747488,7753944
GA,0,74640866,4815685,17030281
HI,0,2853927,28843,61437
HI,0,6377676,94814,360024
HI,0,6024014,168969,490244
HI,0,5446019,214622,509070
HI,0,11081669,598638,1340494
HI,0,8512511,662459,1793439
ID,0,3355666,37723,62134
ID,0,6310325,108261,284875
ID,0,6204880,170750,420252
ID,0,5365522,209981,450188
ID,0,8925333,511165,1066835
ID,0,7890379,558550,1788734
IL,0,27106023,613467,475548
IL,0,49437699,1486842,2689434
IL,0,51206334,2372012,4320088
IL,0,48210901,2791547,4718529
IL,0,108105532,7917902,13811122
IL,0,146056760,10243392,35118252
IN,0,14354270,118923,259412
IN,0,26613850,358054,1442336
IN,0,26095310,597243,2071148
IN,0,23883085,733662,2211798
IN,0,42145417,2021877,5368758
IN,0,34494196,1991339,8068287
IA,0,6011360,83146,124129
IA,0,12953887,252097,741425
IA,0,13570316,413947,1054003
IA,0,13104215,532343,1168701
IA,0,23992806,1547331,3001300
IA,0,16996299,1178572,3837402
KS,0,5825507,70383,111763
KS,0,11642096,172940,621885
KS,0,11693271,279537,907514
KS,0,10896600,348539,989249
KS,0,21353048,1051233,2731279
KS,0,22055672,1130502,5243900
KY,0,9464338,77996,165681
KY,0,16693070,317569,871275
KY,0,15734559,520587,1216372
KY,0,14031855,665557,1271267
KY,0,23770247,1595240,2950960
KY,0,19806025,1386756,4513072
LA,0,10663138,55703,157968
LA,0,16911610,185968,878295
LA,0,15435862,262958,1257619
LA,0,13676260,281600,1314227
LA,0,29175351,914632,3841848
LA,0,31033316,1316312,7454222
ME,0,2978535,46849,64627
ME,0,5758206,136361,334720
ME,0,5688192,217249,453861
ME,0,4995655,256758,459893
ME,0,8684091,669202,1082274
ME,0,6250099,558956,1342558
MD,0,11333080,235590,204010
MD,0,23300366,836559,1253953
MD,0,25082821,1483808,2083561
MD,0,24268962,1813038,2368881
MD,0,63267318,5573320,7790158
MD,0,67520369,6355914,14955213
MA,0,12568547,337945,268486
MA,0,26523905,731188,1680870
MA,0,28523224,1275643,2652736
MA,0,26473505,1519260,2740691
MA,0,70101145,5225708,9095893
MA,0,122992212,8985398,29194310
MI,0,22129242,292846,399678
MI,0,37082617,736137,2065095
MI,0,38164721,1166298,3142670
MI,0,35376798,1364168,3365905
MI,0,70157274,3856293,8953097
MI,0,66295641,3899789,15514709
MN,0,10445915,142664,219441
MN,0,22546234,475858,1347362
MN,0,23965937,890637,1986386
MN,0,23743402,1162644,2185292
MN,0,50871688,3658446,6273821
MN,0,54455298,5035805,12336453
MS,0,7381040,47962,94198
MS,0,10848895,167382,488321
MS,0,9043385,208869,679531
MS,0,7619107,215395,690970
MS,0,13520136,554093,1705210
MS,0,10433682,540081,2328859
MO,0,13075461,131831,241807
MO,0,23904464,379396,1296247
MO,0,23356749,628040,1847641
MO,0,21087406,766723,1959607
MO,0,38500933,2172866,4878532
MO,0,38781744,2537809,9086657
MT,0,2339870,28333,50299
MT,0,4156348,81679,228864
MT,0,4164755,130862,319456
MT,0,3942924,159143,356696
MT,0,6758280,381469,839632
MT,0,5853451,387068,1315919
NE,0,3810826,43995,80262
NE,0,7967263,145051,442200
NE,0,7924727,245455,602998
NE,0,7582903,315948,668919
NE,0,14530435,947475,1800679
NE,0,12701941,902964,2909082
NV,0,6476931,64899,115072
NV,0,12821434,181992,654125
NV,0,11001836,211771,899853
NV,0,9157536,201054,901518
NV,0,17187147,454057,2250227
NV,0,23773183,656520,5783912
NH,0,2624737,72367,60952
NH,0,5650054,154787,356835
NH,0,6018539,228182,521477
NH,0,5898562,258124,571400
NH,0,13961679,729882,1818841
NH,0,13464069,583935,3069208
NJ,0,17413362,834881,323552
NJ,0,32213464,1471391,1780927
NJ,0,35263618,2240996,3030042
NJ,0,33995673,2626925,3368417
NJ,0,93118318,8606298,11663427
NJ,0,146115911,14724593,34471330
NM,0,4718930,35040,78371
NM,0,7968222,101982,395408
NM,0,6998702,153002,558347
NM,0,6142575,170405,592137
NM,0,11639926,469071,1517305
NM,0,9533361,469033,2113600
NY,0,43301874,987717,741884
NY,0,75271045,2541340,4278031
NY,0,76727346,4305221,6793250
NY,0,69807714,5313270,7214128
NY,0,160015013,15526156,20631654
NY,0,341523088,38999409,82845163
NC,0,22000132,253939,357033
NC,0,38872923,735052,1941545
NC,0,34135698,1089871,2660261
NC,0,30247827,1271352,2773771
NC,0,60201945,3580696,7514919
NC,0,64050992,4479363,14395443
ND,0,1413227,6147,35192
ND,0,3274433,18425,213522
ND,0,3364352,28219,298207
ND,0,3503990,34890,350850
ND,0,7599682,113698,1062218
ND,0,7966013,217183,2048773
OH,0,25740189,272081,510993
OH,0,50927001,943555,3053790
OH,0,48915311,1654036,4186119
OH,0,42472775,1858686,4148309
OH,0,74365877,4717645,9501990
OH,0,72893531,5207406,17049015
OK,0,7750209,52271,137934
OK,0,14891674,163832,751967
OK,0,13942429,266770,1075779
OK,0,12358306,322910,1141220
OK,0,23151329,955902,2968366
OK,0,25698987,1273333,6070050
OR,0,8271012,174581,162728
OR,0,15610169,452094,834977
OR,0,15830985,801329,1244157
OR,0,14643345,1017490,1343489
OR,0,28973208,2528591,3487339
OR,0,26964590,2648096,5895185
PA,0,26412009,432231,514465
PA,0,51291596,1184272,3028752
PA,0,52951929,1917242,4499045
PA,0,49284905,2258537,4744107
PA,0,100404215,6277651,12838920
PA,0,110900735,6827466,26360497
RI,0,2351260,50822,48383
RI,0,4335437,132390,264424
RI,0,4405376,230286,390091
RI,0,3952961,256136,390630
RI,0,8790709,685548,1116963
RI,0,8484730,679553,1945286
SC,0,11137050,89035,181914
SC,0,18802488,318741,943002
SC,0,16227045,497125,1261684
SC,0,14376152,598603,1307899
SC,0,27330743,1609964,3358851
SC,0,24662399,1578442,5420592
SD,0,1742133,13140,37509
SD,0,3763254,36631,217021
SD,0,3659190,45386,278527
SD,0,3577389,48488,319234
SD,0,6090746,119561,804398
SD,0,6124917,127138,1535708
TN,0,15151689,107385,255564
TN,0,26214765,288656,1353046
TN,0,23278618,365031,1839140
TN,0,19779900,364155,1860384
TN,0,35879180,888298,4715978
TN,0,40823543,986834,9953611
TX,0,58587416,534824,937338
TX,0,103688676,1518756,5107142
TX,0,93365593,2097421,7497121
TX,0,82313489,2214061,7992868
TX,0,184654313,6362161,24680246
TX,0,287475366,7410208,71093320
UT,0,5295484,55545,99560
UT,0,10592564,208017,478991
UT,0,11406901,411205,717238
UT,0,10485307,497364,799801
UT,0,18787526,1070454,2087293
UT,0,19249291,1091821,4325288
VT,0,1371085,21121,31298
VT,0,2917958,59853,183322
VT,0,2801576,100508,232574
VT,0,2596000,119633,241278
VT,0,5109743,377306,644527
VT,0,3942756,345776,824493
VA,0,15926913,204093,301149
VA,0,31333648,709617,1714195
VA,0,32167321,1201593,2674513
VA,0,31494045,1537754,3066949
VA,0,80203773,5331690,10212053
VA,0,90563904,6419846,20123896
WA,0,13098931,218823,274267
WA,0,28431968,521057,1604349
WA,0,29872553,795489,2510004
WA,0,28771786,905782,2845071
WA,0,66834802,2424903,8862608
WA,0,76272719,2193389,17793395
WV,0,3940901,12686,70104
WV,0,6590507,47597,359446
WV,0,6762116,99290,550960
WV,0,6292679,141820,607828
WV,0,9801105,450975,1290917
WV,0,5788008,395743,1332379
WI,0,11988156,230252,247944
WI,0,24334574,647534,1428910
WI,0,25368119,1091680,2045950
WI,0,24339120,1368275,2190394
WI,0,44029783,3421258,5354334
WI,0,38356560,3106533,8952074
WY,0,1087770,8100,24200
WY,0,2229262,19546,131765
WY,0,2645167,31394,223577
WY,0,2746434,37291,270247
WY,0,5452411,92270,727796
WY,0,6933274,148227,1663285
MA,1001,33609,753,729
MA,1001,82123,2339,5256
MA,1001,95040,3978,8627
MA,1001,78961,4014,7858
MA,1001,151278,9900,20025
MA,1001,47925,3169,9836
MA,1002,39674,1176,888
MA,1002,63140,2404,3824
MA,1002,68477,4805,5589
MA,1002,70444,5328,6563
MA,1002,237239,19549,29269
MA,1002,305997,23352,64545
MA,1005,8361,130,208
MA,1005,18544,503,1199
MA,1005,24727,1055,2075
MA,1005,23413,1236,2115
MA,1005,43872,2882,5377
MA,1005,12906,1237,2280
MA,1007,25862,625,627
MA,1007,51554,2057,3211
MA,1007,64251,3773,5416
MA,1007,78666,5119,7154
MA,1007,197834,15687,24315
MA,1007,88129,6456,18537
MA,1008,1995,0,38
MA,1008,4702,218,272
MA,1008,6626,339,524
MA,1008,7821,466,708
MA,1008,18596,1256,2567
MA,1008,0,0,0
MA,1010,6643,221,149
MA,1010,13033,441,819
MA,1010,19646,1028,1690
MA,1010,15406,1012,1416
MA,1010,49227,3786,6206
MA,1010,23306,1714,5355
MA,1011,2447,0,51
MA,1011,5054,211,295
MA,1011,6682,320,613
MA,1011,5645,316,539
MA,1011,11120,844,1582
MA,1011,0,0,0
MA,1012,1361,0,30
MA,1012,3259,222,213
MA,1012,3864,209,298
MA,1012,3011,274,294
MA,1012,10928,960,1122
MA,1012,0,0,0
MA,1013,54508,696,954
MA,1013,109372,2148,6597
MA,1013,91776,3358,7960
MA,1013,65604,2750,6511
MA,1013,76299,4050,9712
MA,1013,14763,880,2790
MA,1020,67389,1132,1437
MA,1020,151362,3260,9510
MA,1020,148249,5524,13391
MA,1020,126102,5689,12645
MA,1020,167099,10338,20954
MA,1020,31537,2173,6608
MA,1022,4214,107,88
MA,1022,15055,436,1048
MA,1022,15313,629,1533
MA,1022,9497,285,978
MA,1022,9265,439,1334
MA,1022,0,0,0
MA,1026,1881,89,39
MA,1026,4702,143,245
MA,1026,4431,162,380
MA,1026,4392,269,345
MA,1026,10043,652,1383
MA,1026,0,0,0
MA,1027,37912,899,899
MA,1027,91319,2358,6286
MA,1027,96987,4055,8527
MA,1027,93163,4823,9170
MA,1027,156835,10738,19723
MA,1027,61242,4074,12406
MA,1028,26337,1168,600
MA,1028,49140,2404,2963
MA,1028,70111,4827,5665
MA,1028,84654,6306,7823
MA,1028,226480,19715,27994
MA,1028,215568,16534,51943
MA,1030,22526,506,508
MA,1030,45472,1257,2844
MA,1030,54976,2669,4777
MA,1030,61748,3539,5688
MA,1030,140153,9705,17553
MA,1030,46626,3238,9732
MA,1031,2636,124,59
MA,1031,5761,0,382
MA,1031,4891,119,391
MA,1031,4469,168,392
MA,1031,6662,410,919
MA,1031,0,0,0
MA,1032,1120,0,21
MA,1032,2538,127,156
MA,1032,2514,260,221
MA,1032,2781,0,265
MA,1032,4728,274,602
MA,1032,0,0,0
MA,1033,11758,277,289
MA,1033,26198,901,1641
MA,1033,30893,1538,2652
MA,1033,34268,2074,3241
MA,1033,74927,5695,9280
MA,1033,24968,1881,5155
MA,1034,3148,0,71
MA,1034,7653,345,465
MA,1034,10029,454,884
MA,1034,11292,646,1108
MA,1034,25651,1683,3145
MA,1034,10288,694,2231
MA,1035,11085,234,271
MA,1035,21956,606,1439
MA,1035,21401,804,1888
MA,1035,23814,1191,2211
MA,1035,59168,3733,7360
MA,1035,34238,2447,7158
MA,1036,9136,504,205
MA,1036,17025,850,1076
MA,1036,23030,1327,1947
MA,1036,27929,2196,2504
MA,1036,70306,5801,8689
MA,1036,66910,4472,16905
MA,1038,4359,174,100
MA,1038,10750,322,717
MA,1038,13678,635,1205
MA,1038,13213,661,1303
MA,1038,31587,2247,4080
MA,1038,14584,1147,2962
MA,1039,2243,89,47
MA,1039,5985,211,387
MA,1039,8076,386,687
MA,1039,6820,413,698
MA,1039,14870,1170,1769
MA,1039,15303,1177,1956
MA,1040,93938,937,1565
MA,1040,155859,3234,9128
MA,1040,120573,4527,11064
MA,1040,89560,4171,9164
MA,1040,148205,9247,19444
MA,1040,71476,5097,15974
MA,1050,5115,162,121
MA,1050,10750,411,628
MA,1050,12780,621,1133
MA,1050,12314,782,1099
MA,1050,28909,2056,3635
MA,1050,0,0,0
MA,1053,3406,117,87
MA,1053,7399,287,471
MA,1053,8221,493,729
MA,1053,7618,545,741
MA,1053,17610,1417,2122
MA,1053,17186,1321,3872
MA,1054,3430,172,78
MA,1054,5346,307,272
MA,1054,8308,571,633
MA,1054,8734,582,845
MA,1054,25456,2010,3028
MA,1054,28355,2000,5867
MA,1056,40006,881,865
